air_waybill_number;date_of_sale;date_of_flight;flight_number;cargo_transportation_route;physical_weight;volume;volume_weight;paid_weight;currency_of_sale;air_fare;air_fare_1;rfs;rfs_1;total_amount;agency_commission;agency_commission_1;fees_total;myc;myc_1;type_of_cargo;transfer_point;product_code;additional_product_code;shc_code;inn;kpp;note;the_counterparty_to_the_inn_from_fwb
555-79766514;05.04.2025;06.04.2025;SU-5805;VVO-SVO;590,00;4,70;783,33;783,50;RUB;160,00;125360,00;0,00;0,00;127682,15;24,00;24,00;2322,15;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766525;04.04.2025;05.04.2025;FV-6252;VVO-SVO;490,00;3,46;576,67;577,00;RUB;160,00;92320,00;0,00;0,00;94043,30;24,00;24,00;1723,30;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766536;04.04.2025;05.04.2025;SU-1701;VVO-SVO;480,00;4,21;701,67;702,00;RUB;160,00;112320,00;0,00;0,00;114405,80;24,00;24,00;2085,80;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766540;05.04.2025;06.04.2025;SU-1701;VVO-SVO;594,00;4,50;750,00;750,00;RUB;160,00;120000,00;0,00;0,00;122225,00;24,00;24,00;2225,00;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766551;05.04.2025;06.04.2025;SU-1701;VVO-SVO;460,00;3,05;508,33;508,50;RUB;160,00;81360,00;0,00;0,00;82884,65;24,00;24,00;1524,65;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766562;04.04.2025;05.04.2025;HZ-5616;VVO-PKC;40,00;0,26;43,33;43,50;RUB;194,00;8439,00;0,00;0,00;8615,15;24,00;24,00;176,15;0,00;0,00;ODEJDAUSS;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766573;05.04.2025;05.04.2025;SU-1701;VVO-SVO;3,00;0,03;5,00;25,00;RUB;160,00;4000,00;0,00;0,00;4122,50;24,00;24,00;122,50;0,00;0,00;CV-BIOMATERIAL;;520;;LHO;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766606;04.04.2025;05.04.2025;SU-1701;VVO-SGC;10,00;0,06;10,00;25,00;RUB;297,00;7425,00;0,00;0,00;7547,50;24,00;24,00;122,50;0,00;0,00;CV-OBORUD;SVO;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766610;04.04.2025;05.04.2025;SU-1701;VVO-SVO;9,00;0,01;1,67;25,00;RUB;160,00;4000,00;0,00;0,00;4122,50;24,00;24,00;122,50;0,00;0,00;CV-DOKUMENTY;;520;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766621;05.04.2025;06.04.2025;SU-1755;VVO-SVO;1,00;0,02;3,33;25,00;RUB;160,00;4000,00;0,00;0,00;4122,50;24,00;24,00;122,50;0,00;0,00;CVBIOMATERIAL;;520;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766632;05.04.2025;06.04.2025;SU-1755;VVO-SVO;96,00;0,65;108,33;108,50;RUB;160,00;17360,00;0,00;0,00;17724,65;24,00;24,00;364,65;0,00;0,00;CV-TNPOBORUD;;520;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766643;06.04.2025;07.04.2025;SU-1701;VVO-SVO;550,00;4,50;750,00;750,00;RUB;160,00;120000,00;0,00;0,00;122225,00;24,00;24,00;2225,00;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766654;06.04.2025;07.04.2025;SU-1701;VVO-SVO;578,00;4,25;708,33;708,50;RUB;160,00;113360,00;0,00;0,00;115464,65;24,00;24,00;2104,65;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766665;05.04.2025;06.04.2025;SU-5803;VVO-SVO;26,00;0,10;16,67;26,00;RUB;160,00;4160,00;0,00;0,00;4285,40;24,00;24,00;125,40;0,00;0,00;CVDOKUMENTY;;520;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766676;06.04.2025;07.04.2025;SU-1705;VVO-SVO;517,00;4,00;666,67;667,00;RUB;160,00;106720,00;0,00;0,00;108704,30;24,00;24,00;1984,30;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766680;06.04.2025;07.04.2025;SU-1705;VVO-SVO;581,00;4,00;666,67;667,00;RUB;160,00;106720,00;0,00;0,00;108704,30;24,00;24,00;1984,30;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766691;06.04.2025;07.04.2025;SU-1701;VVO-SVO;529,00;4,18;696,67;697,00;RUB;160,00;111520,00;0,00;0,00;113591,30;24,00;24,00;2071,30;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766702;06.04.2025;07.04.2025;SU-1701;VVO-SVO;508,00;4,10;683,33;683,50;RUB;160,00;109360,00;0,00;0,00;111392,15;24,00;24,00;2032,15;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766713;07.04.2025;08.04.2025;SU-1701;VVO-SVO;46,00;0,30;50,00;50,00;RUB;160,00;8000,00;0,00;0,00;8195,00;24,00;24,00;195,00;0,00;0,00;ZAPCHASTINM;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766724;06.04.2025;07.04.2025;SU-1701;VVO-SVO;3,00;0,03;5,00;25,00;RUB;160,00;4000,00;0,00;0,00;4122,50;24,00;24,00;122,50;0,00;0,00;CVBIOMATERIALY;;520;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766761;07.04.2025;08.04.2025;SU-1703;VVO-SVO;512,00;3,76;626,67;627,00;RUB;160,00;100320,00;0,00;0,00;102188,30;24,00;24,00;1868,30;0,00;0,00;OBORUD;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
